Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,tissue
SRR6808226,RNA-Seq,300,7937544600,PRJNA435470,SAMN08580112,Plant,3095303784,CHINA ACADEMY OF CHINESE MEDICAL SCIENCES,public,Artemisia annua L.,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mature,SRX3766454,China,Asia,China:beijing,Illumina HiSeq 2000,B3,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Artemisia annua,ILLUMINA,03-06-18,3/6/18 1:43,1,B3,SRP133983,leaf
SRR6808227,RNA-Seq,300,9225323100,PRJNA435470,SAMN08580110,Plant,3479719122,CHINA ACADEMY OF CHINESE MEDICAL SCIENCES,public,Artemisia annua L.,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mature,SRX3766453,China,Asia,China:beijing,Illumina HiSeq 2000,B1,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Artemisia annua,ILLUMINA,03-06-18,3/6/18 1:34,1,B1,SRP133983,leaf
SRR6808228,RNA-Seq,300,8675091000,PRJNA435470,SAMN08580111,Plant,3280171997,CHINA ACADEMY OF CHINESE MEDICAL SCIENCES,public,Artemisia annua L.,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mature,SRX3766452,China,Asia,China:beijing,Illumina HiSeq 2000,B2,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Artemisia annua,ILLUMINA,03-06-18,3/6/18 1:28,1,B2,SRP133983,leaf
SRR6808229,RNA-Seq,300,7223616900,PRJNA435470,SAMN08580108,Plant,2850295752,CHINA ACADEMY OF CHINESE MEDICAL SCIENCES,public,Artemisia annua L.,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mature,SRX3766451,China,Asia,China:beijing,Illumina HiSeq 2000,RL2,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Artemisia annua,ILLUMINA,03-06-18,3/6/18 1:25,1,RL2,SRP133983,leaf
SRR6808230,RNA-Seq,300,7093788000,PRJNA435470,SAMN08580109,Plant,2807013465,CHINA ACADEMY OF CHINESE MEDICAL SCIENCES,public,Artemisia annua L.,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mature,SRX3766450,China,Asia,China:beijing,Illumina HiSeq 2000,RL3,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Artemisia annua,ILLUMINA,03-06-18,3/6/18 1:37,1,RL3,SRP133983,leaf
SRR6808231,RNA-Seq,300,6935898900,PRJNA435470,SAMN08580095,Plant,2706374722,CHINA ACADEMY OF CHINESE MEDICAL SCIENCES,public,Artemisia annua L.,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mature,SRX3766449,China,Asia,China:beijing,Illumina HiSeq 2000,WL1,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Artemisia annua,ILLUMINA,03-06-18,3/6/18 1:32,1,WL1,SRP133983,leaf
SRR6808232,RNA-Seq,300,5965765800,PRJNA435470,SAMN08580096,Plant,2318642682,CHINA ACADEMY OF CHINESE MEDICAL SCIENCES,public,Artemisia annua L.,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mature,SRX3766448,China,Asia,China:beijing,Illumina HiSeq 2000,WL2,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Artemisia annua,ILLUMINA,03-06-18,3/6/18 1:31,1,WL2,SRP133983,leaf
SRR6808233,RNA-Seq,300,6738694200,PRJNA435470,SAMN08580091,Plant,2616136083,CHINA ACADEMY OF CHINESE MEDICAL SCIENCES,public,Artemisia annua L.,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mature,SRX3766447,China,Asia,China:beijing,Illumina HiSeq 2000,FR2,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Artemisia annua,ILLUMINA,03-06-18,3/6/18 1:25,1,FR2,SRP133983,leaf
SRR6808234,RNA-Seq,300,7715094900,PRJNA435470,SAMN08580093,Plant,3061165662,CHINA ACADEMY OF CHINESE MEDICAL SCIENCES,public,Artemisia annua L.,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mature,SRX3766446,China,Asia,China:beijing,Illumina HiSeq 2000,FR3,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Artemisia annua,ILLUMINA,03-06-18,3/6/18 1:32,1,FR3,SRP133983,leaf
SRR6808235,RNA-Seq,300,6629528400,PRJNA435470,SAMN08580087,Plant,2601973001,CHINA ACADEMY OF CHINESE MEDICAL SCIENCES,public,Artemisia annua L.,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mature,SRX3766445,China,Asia,China:beijing,Illumina HiSeq 2000,D3,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Artemisia annua,ILLUMINA,03-06-18,3/6/18 1:28,1,D3,SRP133983,leaf
SRR6808236,RNA-Seq,300,6449080500,PRJNA435470,SAMN08580089,Plant,2534366366,CHINA ACADEMY OF CHINESE MEDICAL SCIENCES,public,Artemisia annua L.,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mature,SRX3766444,China,Asia,China:beijing,Illumina HiSeq 2000,FR1,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Artemisia annua,ILLUMINA,03-06-18,3/6/18 1:38,1,FR1,SRP133983,leaf
SRR6808237,RNA-Seq,300,5943141600,PRJNA435470,SAMN08580062,Plant,2328400909,CHINA ACADEMY OF CHINESE MEDICAL SCIENCES,public,Artemisia annua L.,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mature,SRX3766443,China,Asia,China:beijing,Illumina HiSeq 2000,D1,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Artemisia annua,ILLUMINA,03-06-18,3/6/18 1:27,1,D1,SRP133983,leaf
SRR6808238,RNA-Seq,300,6369139200,PRJNA435470,SAMN08580063,Plant,2535343726,CHINA ACADEMY OF CHINESE MEDICAL SCIENCES,public,Artemisia annua L.,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mature,SRX3766442,China,Asia,China:beijing,Illumina HiSeq 2000,D2,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Artemisia annua,ILLUMINA,03-06-18,3/6/18 1:34,1,D2,SRP133983,leaf
SRR6808239,RNA-Seq,300,7411911600,PRJNA435470,SAMN08580098,Plant,2871060468,CHINA ACADEMY OF CHINESE MEDICAL SCIENCES,public,Artemisia annua L.,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mature,SRX3766441,China,Asia,China:beijing,Illumina HiSeq 2000,WL3,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Artemisia annua,ILLUMINA,03-06-18,3/6/18 1:34,1,WL3,SRP133983,leaf
SRR6808240,RNA-Seq,300,6668963700,PRJNA435470,SAMN08580107,Plant,2683127609,CHINA ACADEMY OF CHINESE MEDICAL SCIENCES,public,Artemisia annua L.,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mature,SRX3766440,China,Asia,China:beijing,Illumina HiSeq 2000,RL1,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Artemisia annua,ILLUMINA,03-06-18,3/6/18 1:25,1,RL1,SRP133983,leaf
